observation_id,quality_grade,captive,taxon_name,taxon_rank,taxon_id,observations_count,conservation_status,threatened,endemic,introduced,iconic_taxa,taxon_common_name,created_at,observed_on,time_observed_at,uri,user_login,user_name,user_created_at,user_site_id,user_observations_count,longitude,latitude,geoprivacy,country_name,state_name
259713092,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-26T22:14:28-03:00,2025-01-26,2025-01-26T22:10:17-03:00,https://www.inaturalist.org/observations/259713092,apeluffo,NA,2024-02-14T17:09:23+00:00,NaturalistaUY,74,-55.1997116667,-34.8814616667,NA,Uruguay,Maldonado
259567072,research,FALSE,Brunneria subaptera,species,748850,144,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Stick Mantis,2025-01-25T17:24:29-03:00,2025-01-25,2025-01-25T15:27:33-03:00,https://www.inaturalist.org/observations/259567072,lugroposo,Lucía Groposo,2023-12-17T20:26:41+00:00,NA,197,-55.9607458,-34.4300006,NA,Uruguay,Canelones
259449500,research,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-24T15:25:34-03:00,2025-01-24,2025-01-24T15:15:26-03:00,https://www.inaturalist.org/observations/259449500,maiamaiia,maia,2023-11-18T22:30:11+00:00,NaturalistaUY,759,-56.2063312903,-34.8591259893,NA,Uruguay,Montevideo
259422116,research,FALSE,Mantoida beieri,species,749011,1,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-24T08:47:46-03:00,2025-01-23,2025-01-23T22:14:00-03:00,https://www.inaturalist.org/observations/259422116,santiagomailhos,Santiago Mailhos,2019-02-09T21:39:40+00:00,NaturalistaUY,13462,-58.0383747301,-32.5289984599,NA,Uruguay,Río Negro
259353221,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2025-01-23T14:44:04-03:00,2025-01-23,2025-01-23T13:29:21-03:00,https://www.inaturalist.org/observations/259353221,lalin,lälin mazzarovich,2020-06-18T16:24:00+00:00,iNaturalist,49,-55.359300077,-34.8005991438,NA,Uruguay,Maldonado
259096276,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-20T19:18:03-03:00,2025-01-19,2025-01-19T09:22:08-03:00,https://www.inaturalist.org/observations/259096276,verostivanello,Verónica Stivanello,2024-12-07T11:32:55+00:00,NA,37,-55.2782266214,-34.815243219,NA,Uruguay,Maldonado
259069468,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-20T14:25:00-03:00,2025-01-14,2025-01-14T22:26:11-03:00,https://www.inaturalist.org/observations/259069468,melinacuello,NA,2024-03-06T17:31:06+00:00,NaturalistaUY,783,-53.7306121364,-32.142281298,NA,Uruguay,Cerro Largo
259044598,needs_id,FALSE,Mantodea,order,48112,544965,NA,FALSE,FALSE,FALSE,Insecta,Mantises,2025-01-20T07:51:49-03:00,2025-01-19,2025-01-19T14:03:21-03:00,https://www.inaturalist.org/observations/259044598,elena_26,Elena Ferreira,2022-03-20T03:44:45+00:00,NaturalistaUY,1904,-55.1312596723,-34.8540015541,NA,Uruguay,Maldonado
258855781,research,FALSE,Brunneria subaptera,species,748850,144,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Stick Mantis,2025-01-18T15:03:35-03:00,2025-01-18,2025-01-18T11:30:20-03:00,https://www.inaturalist.org/observations/258855781,camilo23292,Camilo Sparano,2024-06-28T01:29:35+00:00,NA,84,-55.9781162068,-34.8363923701,NA,Uruguay,Canelones
258704920,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-16T23:33:34-03:00,2025-01-16,2025-01-16T23:32:15-03:00,https://www.inaturalist.org/observations/258704920,lugroposo,Lucía Groposo,2023-12-17T20:26:41+00:00,NA,197,-55.9606125,-34.4380862,NA,Uruguay,Canelones
258584983,needs_id,FALSE,Coptopteryx,genus,539099,2951,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-15T16:52:49-03:00,2024-12-11,2024-12-11T12:13:50-03:00,https://www.inaturalist.org/observations/258584983,jazmindelpais,Jazmin Riera,2023-03-10T22:38:16+00:00,NaturalistaUY,17,-57.5217383333,-32.3787916667,NA,Uruguay,Paysandú
258510642,needs_id,FALSE,Schizomantodea,infraorder,1097013,515640,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-14T21:19:31-03:00,2025-01-13,NA,https://www.inaturalist.org/observations/258510642,raul542,Raul Canales,2023-01-22T15:41:04+00:00,NA,10,-55.0095608,-34.7914826,NA,Uruguay,Maldonado
258279977,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-12T14:21:27-03:00,2025-01-11,2025-01-11T23:25:00-03:00,https://www.inaturalist.org/observations/258279977,gusgomez,NA,2022-01-05T01:23:58+00:00,NaturalistaUY,425,-54.1615884752,-34.6314952144,NA,Uruguay,Rocha
258188549,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2025-01-11T21:12:51-03:00,2024-01-28,2024-01-28T12:20:56-03:00,https://www.inaturalist.org/observations/258188549,theharuspex,Abstractor,2024-01-27T20:35:39+00:00,NA,11,-55.9695495665,-34.7022514223,NA,Uruguay,Canelones
258096980,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-11T01:13:31-03:00,2025-01-11,2025-01-11T01:11:27-03:00,https://www.inaturalist.org/observations/258096980,ferr_al,,2023-07-06T01:18:22+00:00,NaturalistaUY,726,-57.4284861982,-33.2609996259,NA,Uruguay,Soriano
257919407,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-09T10:18:33-03:00,2025-01-09,2025-01-09T09:16:27-03:00,https://www.inaturalist.org/observations/257919407,verostivanello,Verónica Stivanello,2024-12-07T11:32:55+00:00,NA,37,-55.2782075107,-34.8150246616,NA,Uruguay,Maldonado
257731318,needs_id,FALSE,Coptopteryx,genus,539099,2951,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-07T16:52:56-03:00,2025-01-07,2025-01-07T16:22:41-03:00,https://www.inaturalist.org/observations/257731318,maiamaiia,maia,2023-11-18T22:30:11+00:00,NaturalistaUY,759,-56.2547739968,-34.8539578082,NA,Uruguay,Montevideo
257694920,needs_id,FALSE,Coptopteryx,genus,539099,2951,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-07T09:54:29-03:00,2025-01-07,2025-01-07T09:53:00-03:00,https://www.inaturalist.org/observations/257694920,futuro2009,,2018-07-09T22:48:12+00:00,NaturalistaUY,65,-55.993301282,-31.7210964255,NA,Uruguay,Tacuarembó
257624858,needs_id,FALSE,Coptopteryx,genus,539099,2951,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-06T16:40:20-03:00,2025-01-06,2025-01-06T15:01:11-03:00,https://www.inaturalist.org/observations/257624858,ine-,,2024-03-20T20:14:01+00:00,iNaturalist,16,-54.9877222627,-33.9005412292,NA,Uruguay,Lavalleja
